Index,dG_prime_kJ_mol,sigma_kJ_mol,estimable,spontaneous_point,spontaneous_95
1448_1,-1.4189808541004822,2.110730699325506,True,True,False
1450_0,-6.061525932818199,1.8092514714994912,True,True,True
1450_1,-6.061525932818199,1.8092514714994912,True,True,True
1452_0,-3.061594435217671,1.4955318154526003,True,True,True
1452_1,-3.061594435217671,1.4955318154526003,True,True,True
1454_0,-7.704139513935502,1.0089001392175114,True,True,True
1454_1,-7.704139513935502,1.0089001392175114,True,True,True
1456_0,-7.704139513935388,1.0089001392175116,True,True,True
1456_1,-7.704139513935388,1.0089001392175116,True,True,True
1458_0,-7.704139513935388,1.0089001392175116,True,True,True
1458_1,-7.704139513935388,1.0089001392175116,True,True,True
1460_0,-7.704139513935502,1.0089001392175114,True,True,True
1460_1,-7.704139513935502,1.0089001392175114,True,True,True
1462_0,-3.061594435217671,1.4955318154526003,True,True,True
1462_1,-3.061594435217671,1.4955318154526003,True,True,True
1464_0,49.56325990661048,7.786482642668204,True,False,False
1464_1,49.56325990661048,7.786482642668204,True,False,False
1466_0,49.56325990661048,7.786482642668204,True,False,False
1466_1,49.56325990661048,7.786482642668204,True,False,False
1468_0,54.2058049853282,7.793270988560825,True,False,False
1468_1,54.2058049853282,7.793270988560825,True,False,False
1470_0,-7.873258684976008,1.6592820463578148,True,True,True
1470_1,-7.873258684976008,1.6592820463578148,True,True,True
1472_0,-22.294592821299034,4.0533414104314325,True,True,True
1472_1,-22.294592821299034,4.0533414104314325,True,True,True
1474_0,-22.294592821299034,4.0533414104314325,True,True,True
1474_1,-22.294592821299034,4.0533414104314325,True,True,True
1476_0,-7.704156807728964,1.0089001392175116,True,True,True
1476_1,-7.704156807728964,1.0089001392175116,True,True,True
1478_0,-7.70415680772885,1.0089001392175116,True,True,True
1478_1,-7.70415680772885,1.0089001392175116,True,True,True
1480_0,-1.4189981478939444,2.110730699325506,True,True,False
1480_1,-1.4189981478939444,2.110730699325506,True,True,False
1482_0,-6.061543226611661,1.8092514714994914,True,True,True
1482_1,-6.061543226611661,1.8092514714994914,True,True,True
1484_0,-7.87327597876947,1.6592820463578148,True,True,True
1484_1,-7.87327597876947,1.6592820463578148,True,True,True
1486_0,-16.849440101375706,5.650512904575909,True,True,True
1486_1,-16.849440101375706,5.650512904575909,True,True,True
1488_0,-16.849440101376047,5.650512904575909,True,True,True
1488_1,-16.849440101376047,5.650512904575909,True,True,True
1490_0,-21.533536407007773,4.0533414104314325,True,True,True
1490_1,-21.533536407007773,4.0533414104314325,True,True,True
1492_0,-16.849440101375876,5.650512904575909,True,True,True
1492_1,-16.849440101375876,5.650512904575909,True,True,True
1494_0,-21.536505407544837,4.0533414104314325,True,True,True
1494_1,-21.536505407544837,4.0533414104314325,True,True,True
1496_0,-21.533536407007773,4.053341410431433,True,True,True
1496_1,-21.533536407007773,4.053341410431433,True,True,True
1497_0,340.9686837681732,100000.000164381,False,False,False
1497_1,340.9686837681732,100000.000164381,False,False,False
1498_0,340.96869188610583,100000.000164381,False,False,False
1498_1,340.96869188610583,100000.000164381,False,False,False
1500_0,-21.53353640700766,4.0533414104314325,True,True,True
1500_1,-21.53353640700766,4.0533414104314325,True,True,True
1502_0,35.73085950742632,8.561966264723209,True,False,False
1502_1,35.73085950742632,8.561966264723209,True,False,False
1504_0,-21.533536407007773,4.0533414104314325,True,True,True
1504_1,-21.533536407007773,4.0533414104314325,True,True,True
1506_0,-36.12398971437142,7.869745073875064,True,True,True
1506_1,-36.12398971437142,7.869745073875064,True,True,True
1508_0,-21.533536407007773,4.0533414104314325,True,True,True
1508_1,-21.533536407007773,4.0533414104314325,True,True,True
1509_0,-22.27018266538812,4.2778038752254535,True,True,True
1509_1,-22.27018266538812,4.2778038752254535,True,True,True
1510_0,-22.270182665388006,4.2778038752254535,True,True,True
1510_1,-22.270182665388006,4.2778038752254535,True,True,True
1512_0,-22.270182665388006,4.2778038752254535,True,True,True
1512_1,-22.270182665388006,4.2778038752254535,True,True,True
1513_0,-26.954278971019903,1.5999741265311842,True,True,True
1513_1,-26.954278971019903,1.5999741265311842,True,True,True
1514_0,-26.95427897101996,1.5999741265311842,True,True,True
1514_1,-26.95427897101996,1.5999741265311842,True,True,True
1516_0,-22.270182665388063,4.2778038752254535,True,True,True
1516_1,-22.270182665388063,4.2778038752254535,True,True,True
1518_0,-26.954244465444958,1.5999741265311842,True,True,True
1518_1,-26.954244465444958,1.5999741265311842,True,True,True
1520_0,-26.954278971019676,1.5999741265311844,True,True,True
1520_1,-26.954278971019676,1.5999741265311844,True,True,True
1522_0,-26.95427897101996,1.5999741265311844,True,True,True
1522_1,-26.95427897101996,1.5999741265311844,True,True,True
1523_0,335.5509439564726,100000.0000909272,False,False,False
1523_1,335.5509439564726,100000.0000909272,False,False,False
1524_0,335.5509520744052,100000.0000909272,False,False,False
1524_1,335.5509520744052,100000.0000909272,False,False,False
1525_0,335.55096673554044,100000.0000909272,False,False,False
1525_1,335.55096673554044,100000.0000909272,False,False,False
1526_0,-26.95427897101979,1.5999741265311842,True,True,True
1526_1,-26.95427897101979,1.5999741265311842,True,True,True
1528_0,30.31312044952608,7.91622478905258,True,False,False
1528_1,30.31312044952608,7.91622478905258,True,False,False
1530_0,-26.954278971019846,1.5999741265311846,True,True,True
1530_1,-26.954278971019846,1.5999741265311846,True,True,True
1532_0,-26.954278971019676,1.5999741265311842,True,True,True
1532_1,-26.954278971019676,1.5999741265311842,True,True,True
1534_0,-41.544732278383435,4.214117340142971,True,True,True
1534_1,-41.544732278383435,4.214117340142971,True,True,True
1536_0,-26.954278971019846,1.5999741265311842,True,True,True
1536_1,-26.954278971019846,1.5999741265311842,True,True,True
1537_0,-6.04368983771883,4.344569132739859,True,True,False
1537_1,-6.04368983771883,4.344569132739859,True,True,False
1538_0,-6.043689837719057,4.344569132739859,True,True,False
1538_1,-6.043689837719057,4.344569132739859,True,True,False
1539_0,-10.72778614335084,1.758147162198262,True,True,True
