Generation	Smiles	Inchi	Energy	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness	No. Heteroatoms 	VDW Volume	Molecular Weight	Molecular Formula	No. Carbons	No. Hydrogens	No. Oxygens	Heteroatoms/Carbons	H/C	O/C	ESOL
G5	C(CC1CC(C(O)O1)(CO)O)=O	CCDQLLVETXTQOV	44.6634	-1.6452	-0.364	5	3	86.99	-6.0955	5	169.89	176.068473484	C7H12O5	7	12	5	0.7142857142857143	1.7142857142857142	0.7142857142857143	0.2885645578694996
G5	C(C1CC(C)(C(O1)O)O)(O)=O	BIRAWOMJSIEDLW	20.3356	-1.3102	-0.368	5	3	86.99	-0.93891	5	149.06	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	-0.013609383404146476
G5	C(C1(C)C(CC(O1)O)O)(O)=O	FIIJBJMTZQKONV	364.214	-1.3102	-0.368	5	3	86.99	-0.36904	5	148.17	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	-0.013609383404146476
G5	C(C1C(CC(C)(O1)O)O)(O)=O	LUWDXJHZLWSBEK	27.6476	-1.3439	-0.506	5	3	86.99	-0.2884	5	148.02	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	-0.013609383404146476
G5	C(C1(CO)CCC(O1)O)(O)=O	RLRGSHSOOXAGSU	16.8372	-1.3848	-0.26	5	3	86.99	-6.0439	5	149.09	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	-0.011344516161934007
G5	C1(C(O)OC(CO)C1(C)O)=O	KGJWTMFACAUWDN	422.224	-1.669	-0.038	5	3	86.99	1.4606	5	150.29	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.6637614372687973
G5	C1(C(O)OCC1(CCO)O)=O	VEHHGJGINBECQY	57.5299	-1.5393	0.07	5	3	86.99	-0.25141	5	150.41	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.6660263045110092
G5	C1CC(C(CO)(O)O1)O	ZLKDKQJRQVHBFE	65.1128	-1.319	-0.146	4	3	69.92	0.021162	4	128.69	134.0579088	C5H10O4	5	10	4	0.8	2.0	0.8	0.5282423653973647
G5	C1(C(CO)OC(C1(C)O)O)=O	KQFYKICDGSKZJC	412.943	-1.669	-0.038	5	3	86.99	2.0617	5	149.91	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.6637614372687971
G5	C(C1C(C(C)(C(O1)O)O)O)=O	NDQQICVMFWYKME	80.3994	-2.025	-0.202	5	3	86.99	-0.45127	5	150.12	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.6649481155925424
G5	C1(C(CC(CO)(CO)O1)O)O	SXXKJBPKRWYAPU	65.8718	-1.8873	0.121	5	4	90.15	-6.0777	5	157.11	164.068473484	C6H12O5	6	12	5	0.8333333333333334	2.0	0.8333333333333334	0.8071092296842696
G5	C1(C(C)OC(C(CO)O)(C1)O)=O	AHVLHPAVMGAMJW	59.9299	-1.418	-0.446	5	3	86.99	0.94731	5	167.12	176.068473484	C7H12O5	7	12	5	0.7142857142857143	1.7142857142857142	0.7142857142857143	0.285113012303542
G5	C1(C(CO)OC(C(C)O)(C1)O)=O	ZLKJKKBMJAFLAC	43.4405	-1.418	-0.446	5	3	86.99	0.014979	5	168.37	176.068473484	C7H12O5	7	12	5	0.7142857142857143	1.7142857142857142	0.7142857142857143	0.285113012303542
G5	C(C)(C1CC(C(CO)(O1)O)O)=O	QKUHJUNWQPBUKM	403.667	-1.5929	-0.446	5	3	86.99	0.23056	5	170.16	176.068473484	C7H12O5	7	12	5	0.7142857142857143	1.7142857142857142	0.7142857142857143	0.2851130123035416
G5	C(CO)(C1CC(C(C)(O1)O)O)=O	QUXFKWNZXFPXSV	381.292	-1.5929	-0.446	5	3	86.99	2.2371	5	168.7	176.068473484	C7H12O5	7	12	5	0.7142857142857143	1.7142857142857142	0.7142857142857143	0.2851130123035416
G5	C(C1(C)CC(C(CO)(O1)O)O)=O	UTERHJKNUJIFJC	419.365	-1.8353	-0.341	5	3	86.99	-4.8383	5	168.5	176.068473484	C7H12O5	7	12	5	0.7142857142857143	1.7142857142857142	0.7142857142857143	0.2851130123035418
G5	C(CO)(C1CC(C(O1)O)(C)O)=O	IRVNDDARESJMQX	55.0222	-1.5592	-0.308	5	3	86.99	2.3268	5	168.18	176.068473484	C7H12O5	7	12	5	0.7142857142857143	1.7142857142857142	0.7142857142857143	0.285113012303542
G5	C1(C(C)OC(CCO)(C1O)O)=O	YXEADRNXDAVOFR	51.8361	-1.2483	-0.446	5	3	86.99	0.28603	5	168.92	176.068473484	C7H12O5	7	12	5	0.7142857142857143	1.7142857142857142	0.7142857142857143	0.2851130123035418
G5	C1(C(CCO)OC(C)(C1O)O)=O	HZNRFYUULZDJAV	441.225	-1.2483	-0.446	5	3	86.99	0.90745	5	165.67	176.068473484	C7H12O5	7	12	5	0.7142857142857143	1.7142857142857142	0.7142857142857143	0.2851130123035418
G5	C(C)(C(C1(C(CCO1)O)O)O)=O	KSCBKHPYODVFJK	394.085	-1.5583	-0.446	5	3	86.99	1.4923	5	166.21	176.068473484	C7H12O5	7	12	5	0.7142857142857143	1.7142857142857142	0.7142857142857143	0.2851130123035418
G5	C1(C(CCO)OC(C1(C)O)O)=O	NLEQHSFBTGPOSX	394.31	-1.2146	-0.308	5	3	86.99	0.78667	5	166.72	176.068473484	C7H12O5	7	12	5	0.7142857142857143	1.7142857142857142	0.7142857142857143	0.2851130123035418
G5	C(C(C)(C1(C(CCO1)O)O)O)=O	KCMLVBNZURXPSO	905.75	-1.7181	-0.341	5	3	86.99	-1.7748	5	165.81	176.068473484	C7H12O5	7	12	5	0.7142857142857143	1.7142857142857142	0.7142857142857143	0.285113012303542
G5	C1(COC(C(C)O)(C1CO)O)=O	LTXKWYFEKPNEHR	31.9848	-1.4734	-0.228	5	3	86.99	0.91629	5	168.73	176.068473484	C7H12O5	7	12	5	0.7142857142857143	1.7142857142857142	0.7142857142857143	0.3908015505121204
