Network	Generation	Smiles
FormoseAmm	G3	C(CO)(C(C(C(CN)O)O)N)=O
FormoseAmm	G3	C(CO)(C(C(C(CN)O)O)O)=O
FormoseAmm	G3	C(CO)(C(C(C(CO)N)O)N)=O
FormoseAmm	G3	C(CO)(C(C(C(CO)N)O)O)=O
FormoseAmm	G3	C(CO)(C(C(C(CO)O)O)N)=O
FormoseAmm	G3	C(CO)(C(C(C)O)N)=O
FormoseAmm	G3	C(CO)(C(C(C)O)O)=O
FormoseAmm	G3	C(CO)(C(C(CN)O)N)=O
FormoseAmm	G3	C(CO)(C(C(CN)O)O)=O
FormoseAmm	G3	C(CO)(C(C(CO)(CN)O)N)=O
FormoseAmm	G3	C(CO)(C(C(CO)(CN)O)O)=O
FormoseAmm	G3	C(CO)(C(C(CO)(CO)O)N)=O
FormoseAmm	G3	C(CO)(C(C(CO)O)N)=O
FormoseAmm	G3	C(CO)(C(C(CO)O)O)=O
FormoseAmm	G3	C(CO)(C(CN)N)=O
FormoseAmm	G3	C(CO)(C(CN)NCCO)=O
FormoseAmm	G3	C(CO)(C(CN)O)=O
FormoseAmm	G3	C(CO)(C(CNCC=O)N)=O
FormoseAmm	G3	C(CO)(C(CNCCO)O)=O
FormoseAmm	G3	C(CO)(C(CO)(C(C)O)O)=O
FormoseAmm	G3	C(CO)(C(CO)(C(CN)O)O)=O
FormoseAmm	G3	C(CO)(C(CO)(CO)O)=O
FormoseAmm	G3	C(CO)(C(CO)N)=O
FormoseAmm	G3	C(CO)(C(CO)NCCO)=O
FormoseAmm	G3	C(CO)(CNCC(CO)=O)=O
FormoseAmm	G3	C(CO)(CNCCN)=O
FormoseAmm	G3	C(CO)(CNCCO)=O
FormoseAmm	G3	C1(CNCC(C1(CO)O)O)=O
FormoseAmm	G3	C1(CNCC(C1O)O)=O
FormoseAmm	G3	C1C(C(C(C(C(O)O1)N)O)O)O
FormoseAmm	G3	C1C(C(C(C(O)O1)O)O)O
FormoseAmm	G3	C1C(C(C(O)O1)(C(CN)O)O)O
FormoseAmm	G3	C1C(C(C(O)O1)(CO)O)O
FormoseAmm	G4	C(C(C(C(C(C)=O)N)O)N)=O
FormoseAmm	G4	C(C(C(C(C(C)=O)N)O)O)=O
FormoseAmm	G4	C(C(C(C(C(C)=O)O)N)N)=O
FormoseAmm	G4	C(C(C(C(C(C)=O)O)N)O)=O
FormoseAmm	G4	C(C(C(C(C(C)=O)O)O)CN)=O
FormoseAmm	G4	C(C(C(C(C(C)N)=O)O)N)=O
FormoseAmm	G4	C(C(C(C(C(C)N)=O)O)O)(C)=O
FormoseAmm	G4	C(C(C(C(C(C)N)O)O)N)=O
FormoseAmm	G4	C(C(C(C(C(C)N)O)O)O)=O
FormoseAmm	G4	C(C(C(C(C(C)O)N)=O)CO)=O
FormoseAmm	G4	C(C(C(C(C(C)O)N)O)N)=O
FormoseAmm	G4	C(C(C(C(C(C)O)N)O)O)=O
FormoseAmm	G4	C(C(C(C(C(C)O)O)=O)CO)=O
FormoseAmm	G4	C(C(C(C(C(C)O)O)O)N)=O
FormoseAmm	G4	C(C(C(C(C(C)O)O)O)O)=O
FormoseAmm	G4	C(C(C(C(C(C=O)N)O)O)N)=O
FormoseAmm	G4	C(C(C(C(C(C=O)O)N)O)N)=O
FormoseAmm	G4	C(C(C(C(C(C=O)O)N)O)O)=O
FormoseAmm	G4	C(C(C(C(C(C=O)O)O)O)N)=O
FormoseAmm	G4	C(C(C(C(C(CN)N)N)O)O)=O
FormoseAmm	G4	C(C(C(C(C(CN)N)N)O)O)O
FormoseAmm	G4	C(C(C(C(C(CN)N)O)N)O)O
FormoseAmm	G4	C(C(C(C(C(CN)N)O)O)N)=O
FormoseAmm	G4	C(C(C(C(C(CN)N)O)O)N)O
FormoseAmm	G4	C(C(C(C(C(CN)N)O)O)O)=O
FormoseAmm	G4	C(C(C(C(C(CN)N)O)O)O)N
FormoseAmm	G4	C(C(C(C(C(CN)O)N)N)O)=O
FormoseAmm	G4	C(C(C(C(C(CN)O)N)N)O)O
FormoseAmm	G4	C(C(C(C(C(CN)O)N)O)N)O
FormoseAmm	G4	C(C(C(C(C(CN)O)N)O)O)N
FormoseAmm	G4	C(C(C(C(C(CN)O)N)O)O)O
FormoseAmm	G4	C(C(C(C(C(CN)O)O)N)N)=O
FormoseAmm	G4	C(C(C(C(C(CN)O)O)N)N)O
FormoseAmm	G4	C(C(C(C(C(CN)O)O)N)O)=O
FormoseAmm	G4	C(C(C(C(C(CN)O)O)N)O)O
FormoseAmm	G4	C(C(C(C(C(CN)O)O)O)N)O
FormoseAmm	G4	C(C(C(C(C(CN)O)O)O)O)N
FormoseAmm	G4	C(C(C(C(C(CO)=O)N)N)O)=O
FormoseAmm	G4	C(C(C(C(C(CO)=O)N)O)O)=O
FormoseAmm	G4	C(C(C(C(C(CO)N)N)O)N)=O
FormoseAmm	G4	C(C(C(C(C(CO)N)N)O)O)=O
FormoseAmm	G4	C(C(C(C(C(CO)N)O)N)N)=O
FormoseAmm	G4	C(C(C(C(C(CO)N)O)N)N)O
FormoseAmm	G4	C(C(C(C(C(CO)N)O)N)O)=O
FormoseAmm	G4	C(C(C(C(C(CO)N)O)O)N)O
FormoseAmm	G4	C(C(C(C(C(CO)O)=O)O)N)=O
FormoseAmm	G4	C(C(C(C(C(CO)O)N)=O)O)=O
FormoseAmm	G4	C(C(C(C(C(CO)O)N)N)N)=O
FormoseAmm	G4	C(C(C(C(C(CO)O)N)N)O)=O
FormoseAmm	G4	C(C(C(C(C(CO)O)N)N)O)O
FormoseAmm	G4	C(C(C(C(C(CO)O)N)O)N)O
FormoseAmm	G4	C(C(C(C(C(CO)O)N)O)O)O
FormoseAmm	G4	C(C(C(C(C(CO)O)O)N)N)O
FormoseAmm	G4	C(C(C(C(C(N)=C)O)O)N)=O
FormoseAmm	G4	C(C(C(C(C(N)=C)O)O)O)=O
FormoseAmm	G4	C(C(C(C(C)N)=O)(CN)O)=O
FormoseAmm	G4	C(C(C(C(C)N)=O)(CO)N)=O
FormoseAmm	G4	C(C(C(C(C)N)=O)(CO)O)=O
FormoseAmm	G4	C(C(C(C(C)N)O)(CC=O)O)=O
FormoseAmm	G4	C(C(C(C(C)N)O)C(C=O)O)=O
