Network	Generation	Smiles
Formose	G4	C(CC(CO)(CC(C=O)O)O)=O
Formose	G4	C(CC(CO)(CC(CO)=O)O)=O
Formose	G4	C(CC(CO)(CCO)O)=O
Formose	G4	C(CC(CO)O)(O)=O
Formose	G4	C(CC1(C(C(C(C1)=O)O)O)O)=O
Formose	G4	C(CC1(C(C(CO1)O)O)O)=O
Formose	G4	C(CC1(C(CC(C1O)=O)O)O)=O
Formose	G4	C(CC1(C(O)OCC1O)O)=O
Formose	G4	C(CC1(COC(C1O)O)O)=O
Formose	G4	C(CCC=O)(C(C(CO)O)O)=O
Formose	G4	C(CCO)(C(C(CO)=O)O)=O
Formose	G4	C(CCO)(C(CO)(CO)O)=O
Formose	G4	C(CO)(C(C(C(C)O)O)O)=O
Formose	G4	C(CO)(C(C(C(C=C)=O)O)O)=O
Formose	G4	C(CO)(C(C(C)O)(C(C)O)O)=O
Formose	G4	C(CO)(C(C(C)O)C(C=O)O)=O
Formose	G4	C(CO)(C(C(C=CC=O)O)O)=O
Formose	G4	C(CO)(C(C(C=O)=C)(CO)O)=O
Formose	G4	C(CO)(C(C(CC(C)O)O)O)=O
Formose	G4	C(CO)(C(C(CCO)O)O)=O
Formose	G4	C(CO)(C(C(CO)(C)O)O)=O
Formose	G4	C(CO)(C(C(CO)=O)CO)=O
Formose	G4	C(CO)(C(C(CO)=O)O)=O
Formose	G4	C(CO)(C(C)(C(C(C)=O)O)O)=O
Formose	G4	C(CO)(C(C)(C(C=O)O)O)=O
Formose	G4	C(CO)(C(C)(CC(CO)=O)O)=O
Formose	G4	C(CO)(C(C=C)(CO)O)=O
Formose	G4	C(CO)(C(C=CC=O)(CO)O)=O
Formose	G4	C(CO)(C(CC(CO)=O)O)=O
Formose	G4	C(CO)(C(CO)(CC=O)O)=O
Formose	G4	C(CO)(C(CO)C(C(C)=O)O)=O
Formose	G4	C(CO)(C(CO)C(C)O)=O
Formose	G4	C(CO)(C(CO)C(C=O)O)=O
Formose	G4	C(CO)(C(CO)C(CCO)O)=O
Formose	G4	C(CO)(C(CO)C(CO)(C)O)=O
Formose	G4	C(CO)(C(CO)C(CO)O)=O
Formose	G4	C(CO)(C(CO)CO)=O
Formose	G4	C(CO)(C1C(CC(C1O)=O)O)=O
Formose	G4	C(CO)(C1C(O)OCC1O)=O
Formose	G4	C(CO)(CC(C(C(C)O)O)O)=O
Formose	G4	C(CO)(CC(C(CCO)O)O)=O
Formose	G4	C(CO)(CC(C(CO)O)O)=O
Formose	G4	C(CO)(CC(C)(C(CO)O)O)=O
Formose	G4	C(CO)(CC(CC(C)O)O)=O
Formose	G4	C(CO)(CC(CC(CO)=O)O)=O
Formose	G4	C(CO)(CC(CC(CO)O)O)=O
Formose	G4	C(CO)(CC(CCO)O)=O
Formose	G4	C(CO)(CC(CO)(C)O)=O
Formose	G4	C(CO)(CC(CO)(CCO)O)=O
Formose	G4	C(CO)(CC(CO)(CO)O)=O
Formose	G4	C(CO)(CC(CO)O)=O
Formose	G4	C1(C(C(C(C(C1)O)=O)CO)O)=O
Formose	G4	C1(C(C(C(C(C1)O)O)O)O)=O
Formose	G4	C1(C(C(C(C)(C1O)O)O)O)=O
Formose	G4	C1(C(C(C(C1)O)(CO)O)O)=O
Formose	G4	C1(C(C(C(C1)O)C(C=O)O)O)=O
Formose	G4	C1(C(C(C(C1)O)O)O)=O
Formose	G4	C1(C(C(C(C1CO)O)O)O)=O
Formose	G4	C1(C(C(C(C1O)O)O)O)=O
Formose	G4	C1(C(C(C(CC(C1)O)=O)O)O)=O
Formose	G4	C1(C(C(C(CO)(C1)O)O)O)=O
Formose	G4	C1(C(C(C(O)OCC1)O)O)=O
Formose	G4	C1(C(C(C)O)(C(CO1)O)O)=O
Formose	G4	C1(C(C(CC(C1)O)O)O)=O
Formose	G4	C1(C(C(CC(C1O)O)O)O)=O
Formose	G4	C1(C(C(CCO)O)(O)OCC1)=O
Formose	G4	C1(C(C(CCO)O)OC(C1)O)=O
